id,x,y,total_work,remaining_work
0,50.0,50.0,10.0,10.0
1,51.35645069533639,59.07582325890665,5.0,5.0
2,39.91547635952885,41.831558558919724,10.0,10.0
3,65.86499821065199,49.0338681645978,15.0,15.0
4,37.245474318370995,63.197127714007465,10.0,10.0
5,50.548125788521745,29.48775512775589,10.0,10.0
6,64.73554584451644,66.97429958964113,10.0,10.0
7,25.879215046833703,47.232073437817995,10.0,10.0
8,71.01274556750839,34.76357212987662,10.0,10.0
9,44.48235512225749,76.9712871744236,15.0,15.0
10,35.08427087732457,25.107706254809173,5.0,5.0
11,79.17041275599173,58.68347909070777,15.0,15.0
12,21.40778639815797,63.89286281282995,5.0,5.0
13,62.176199914259826,19.23513371143566,10.0,10.0
14,62.24857033913143,82.076781214274,5.0,5.0
15,18.223237700489264,34.08160584426824,5.0,5.0
16,85.30499696225357,39.953826074176376,15.0,15.0
17,30.16094231891174,82.2178636426265,10.0,10.0
18,42.65901971068507,11.765205871142705,15.0,15.0
19,82.09629829741145,73.87106272463761,15.0,15.0
